INSTRUCTION DIVISION
TIMETABLE SECOND SEMESTER 2016-2017
"January 12, 2017"
II. COURSEWISE TIMETABLE,,,,,,2,,SECOND SEMESTER 2016-2017,,,,






,,,,13,Amit Jain,6104,F,1,,
,,,,14,Simarpreet Singh,2207,F,1,,
,,,,15,Navin Singh,3245,F,1,,
,,,,16,Amit Jain,2204,S,2,,
,,,,17,Priya C Sande,6107,S,2,,
,,,,18,Manoj Soni,6108,S,2,,
,,,,19,Navin Singh,2216,S,2,,
,,,,20,Rajesh Kumar,2222,S,2,,
,,,,21,Indresh Kumar,3249,S,3,,
,,,,22,Raman Sharma,6156,S,3,,
,,,,23,Murali Palla,2203,S,3,,
,,,,24,Nilesh Purohit,2207,S,3,,
II. COURSEWISE TIMETABLE,,,,,,6,,SECOND SEMESTER 2016-2017,,,,






1005,BITS F112,TECH REPORT WRITING,2,-,2,1,DEVIKA,6102,M F,3,15/05,AN
,,,,,2,Virendra Singh Nirban,6156,T Th,3,,,
,,,,,3,Somdatta Bhattacharya,6101,T Th,7,,,
,,,,,4,Sanjiv Kr Choudhary,6102,T Th,8,,,
,,,,,5,Pushp Lata,6102,T Th,9,,,
1860,BITS F114,GENERAL MATHEMATICS II,3,-,3,1,SURESH KUMAR,6153,M W F,4,05/05,FN
,,Tutorial,,,,Suresh Kumar,6153,M,1,,,
1892,BITS F214,"SCIENCE,TECH & MODERNITY",3,-,3,1,SUNITA RAINA,6154,M W F,8,15/05,FN
1332,BITS F311,IMAGE PROCESSING,3,-,3,1,SUBHASH N KARBELKAR,6106,T Th S,2,04/05,FN
1790,BITS F381,TIC PROJECTS,-,-,3,1,ANU GUPTA,,,,,
1791,BITS F382,READING COURSE,-,-,3,1,SRIKANTA ROUTROY,,,,,
1792,BITS F383,TIC PROJECTS,-,-,3,1,ANU GUPTA,,,,,
1337,BITS F386,QUANTUM INFO & COMPUTING,3,-,3,1,J N BANDOPADHYAY,3215,M W F,3,11/05,FN
1592,BITS F412,PRACTICE SCHOOL II,-,-,20,1,NIRANJAN SWAIN,,,,,
1615,BITS F413,PRACTICE SCHOOL II,-,-,20,1,NIRANJAN SWAIN,,,,,
1770,BITS F418,INTRO TO BIOMEDICAL ENGG,3,1,4,1,RAJDEEP CHOWDHURY,6152,M W F,10,08/05,FN
,,,,,,Banasri Roy,,,,,,
1593,BITS F421T,THESIS,-,-,16,1,HEMANT R JADHAV,,,,,
1616,BITS F422T,THESIS,-,-,16,1,HEMANT R JADHAV,,,,,
1617,BITS F423T,THESIS,-,-,9,1,HEMANT R JADHAV,,,,,
1619,BITS F424T,THESIS,-,-,9,1,HEMANT R JADHAV,,,,,
1899,BITS F429,NANOTECH FOR RENEW ENRGY,3,1,4,1,SMITA RAGHUVANSHI,6160,M W F,3,11/05,FN
,,& ENV,,,,,,,,,,
,,,,,,Banasri Roy,,,,,,
1811,BITS F441,ROBOTICS,3,-,3,1,BIJOY KUMAR RAUT,2207,M W F,3,11/05,FN
1816,BITS F446,PATTERN RECOGNITION,-,-,3,1,RAJ KUMAR GUPTA,6103,M W F,9,06/05,FN
